AREA_CURRICULAR,COD_AREA_CURRICULAR
Ingeniería Mecánica (Facultad de minas),1
Ingeniería Química e Ingeniería de Petróleos (Facultad de minas),2
Medio Ambiente (Facultad de minas),3
Ingeniería Eléctrica e Ingeniería de Control (Facultad de minas),4
Ingeniería Administrativa e Ingeniería Industrial (Facultad de minas),5
Ingeniería Civil (Facultad de minas),6
Ingeniería de Sistemas e Informática (Facultad de minas),7
Recursos Minerales (Facultad de minas),8
Materiales y Nanotecnología (Facultad de minas),9
No identificada,99999
